"from","to","weight","language"
"12","23",1,"SPA"
"13","23",3,"SPA"
"14","23",1,"SPA"
"16","23",2,"SPA"
"17","23",2,"SPA"
"18","23",23,"SPA"
"19","23",1,"SPA"
"20","23",1,"SPA"
"21","23",3,"SPA"
"22","23",17,"SPA"
"1","24",80,"SPA"
"2","24",31,"SPA"
"3","24",24,"SPA"
"4","24",35,"SPA"
"5","24",13,"SPA"
"6","24",5,"SPA"
"7","24",3,"SPA"
"8","24",8,"SPA"
"9","24",42,"SPA"
"10","24",3,"SPA"
"11","24",8,"SPA"
"12","24",6,"SPA"
"13","24",4,"SPA"
"14","24",2,"SPA"
"15","24",3,"SPA"
"16","24",2,"SPA"
"17","24",2,"SPA"
"18","24",3,"SPA"
"19","24",2,"SPA"
"20","24",4,"SPA"
"21","24",1,"SPA"
"22","24",1,"SPA"
"23","24",17,"SPA"
"1","25",110,"SPA"
"2","25",18,"SPA"
"3","25",42,"SPA"
"4","25",7,"SPA"
"5","25",13,"SPA"
"6","25",22,"SPA"
"7","25",21,"SPA"
"8","25",16,"SPA"
"9","25",8,"SPA"
"10","25",15,"SPA"
"11","25",11,"SPA"
"12","25",5,"SPA"
"13","25",1,"SPA"
"14","25",7,"SPA"
"15","25",13,"SPA"
"16","25",4,"SPA"
"17","25",2,"SPA"
"18","25",4,"SPA"
"20","25",5,"SPA"
"22","25",13,"SPA"
"23","25",2,"SPA"
"1","26",93,"SPA"
"2","26",2,"SPA"
"3","26",26,"SPA"
"4","26",3,"SPA"
"5","26",41,"SPA"
"6","26",19,"SPA"
"7","26",6,"SPA"
"9","26",4,"SPA"
"10","26",24,"SPA"
"11","26",5,"SPA"
"14","26",8,"SPA"
"15","26",6,"SPA"
"16","26",1,"SPA"
"18","26",2,"SPA"
"19","26",1,"SPA"
"20","26",2,"SPA"
"23","26",1,"SPA"
"24","26",4,"SPA"
"1","27",72,"SPA"
"2","27",1,"SPA"
"3","27",8,"SPA"
"5","27",47,"SPA"
"6","27",47,"SPA"
"7","27",28,"SPA"
"9","27",1,"SPA"
"10","27",18,"SPA"
"11","27",2,"SPA"
"14","27",10,"SPA"
"15","27",10,"SPA"
"16","27",1,"SPA"
"21","27",2,"SPA"
"24","27",1,"SPA"
"25","27",2,"SPA"
"26","27",1,"SPA"
"27","27",1,"SPA"
"1","28",4,"SPA"
"2","28",15,"SPA"
"3","28",25,"SPA"
"4","28",13,"SPA"
"5","28",4,"SPA"
"6","28",2,"SPA"
"7","28",6,"SPA"
"8","28",7,"SPA"
"9","28",16,"SPA"
"10","28",4,"SPA"
"12","28",9,"SPA"
"14","28",5,"SPA"
"15","28",4,"SPA"
"16","28",2,"SPA"
"17","28",2,"SPA"
"18","28",9,"SPA"
"19","28",1,"SPA"
"20","28",5,"SPA"
"21","28",41,"SPA"
"22","28",51,"SPA"
"23","28",8,"SPA"
"1","29",19,"SPA"
"2","29",15,"SPA"
"3","29",7,"SPA"
"4","29",7,"SPA"
"5","29",5,"SPA"
"6","29",4,"SPA"
"7","29",5,"SPA"
"8","29",4,"SPA"
"9","29",7,"SPA"
"10","29",6,"SPA"
"11","29",2,"SPA"
"12","29",1,"SPA"
"13","29",5,"SPA"
"14","29",1,"SPA"
"15","29",3,"SPA"
"16","29",2,"SPA"
"17","29",5,"SPA"
"18","29",12,"SPA"
