"from","to","weight","language"
"1","29",7,"EUS"
"2","29",63,"EUS"
"3","29",3,"EUS"
"4","29",2,"EUS"
"6","29",3,"EUS"
"7","29",2,"EUS"
"8","29",1,"EUS"
"9","29",2,"EUS"
"10","29",1,"EUS"
"12","29",2,"EUS"
"13","29",1,"EUS"
"16","29",3,"EUS"
"17","29",1,"EUS"
"20","29",1,"EUS"
"21","29",2,"EUS"
"22","29",1,"EUS"
"23","29",1,"EUS"
"24","29",1,"EUS"
"25","29",1,"EUS"
"1","30",10,"EUS"
"6","30",4,"EUS"
"8","30",3,"EUS"
"9","30",14,"EUS"
"10","30",3,"EUS"
"12","30",1,"EUS"
"14","30",1,"EUS"
"15","30",1,"EUS"
"17","30",1,"EUS"
"22","30",2,"EUS"
"26","30",2,"EUS"
"29","30",1,"EUS"
"30","30",1,"EUS"
"5","31",82,"EUS"
"28","31",1,"EUS"
"1","32",4,"EUS"
"2","32",2,"EUS"
"7","32",1,"EUS"
"8","32",5,"EUS"
"10","32",1,"EUS"
"12","32",1,"EUS"
"15","32",1,"EUS"
"16","32",1,"EUS"
"17","32",3,"EUS"
"18","32",2,"EUS"
"22","32",2,"EUS"
"23","32",1,"EUS"
"24","32",1,"EUS"
"25","32",1,"EUS"
"28","32",1,"EUS"
"1","33",2,"EUS"
"9","33",6,"EUS"
"16","33",1,"EUS"
"22","33",1,"EUS"
"26","33",114,"EUS"
"28","33",1,"EUS"
"1","34",2,"EUS"
"2","34",1,"EUS"
"3","34",3,"EUS"
"6","34",2,"EUS"
"7","34",1,"EUS"
"9","34",15,"EUS"
"10","34",7,"EUS"
"11","34",1,"EUS"
"14","34",1,"EUS"
"15","34",1,"EUS"
"18","34",4,"EUS"
"28","34",2,"EUS"
"29","34",1,"EUS"
"1","35",1,"EUS"
"2","35",23,"EUS"
"3","35",2,"EUS"
"4","35",3,"EUS"
"5","35",1,"EUS"
"6","35",31,"EUS"
"9","35",2,"EUS"
"11","35",14,"EUS"
"12","35",9,"EUS"
"13","35",4,"EUS"
"14","35",14,"EUS"
"17","35",1,"EUS"
"20","35",4,"EUS"
"21","35",3,"EUS"
"30","35",3,"EUS"
"1","36",8,"EUS"
"2","36",9,"EUS"
"3","36",1,"EUS"
"4","36",1,"EUS"
"7","36",4,"EUS"
