"from","to","weight","language"
"10","23",2,"DEU"
"11","23",1,"DEU"
"12","23",4,"DEU"
"13","23",5,"DEU"
"14","23",2,"DEU"
"15","23",4,"DEU"
"16","23",26,"DEU"
"17","23",6,"DEU"
"18","23",6,"DEU"
"19","23",7,"DEU"
"20","23",1,"DEU"
"21","23",4,"DEU"
"22","23",2,"DEU"
"1","24",25,"DEU"
"2","24",20,"DEU"
"3","24",17,"DEU"
"4","24",13,"DEU"
"5","24",9,"DEU"
"6","24",8,"DEU"
"7","24",7,"DEU"
"8","24",7,"DEU"
"9","24",1,"DEU"
"10","24",3,"DEU"
"11","24",15,"DEU"
"12","24",6,"DEU"
"13","24",2,"DEU"
"14","24",1,"DEU"
"15","24",4,"DEU"
"16","24",15,"DEU"
"17","24",16,"DEU"
"18","24",3,"DEU"
"19","24",10,"DEU"
"20","24",4,"DEU"
"21","24",4,"DEU"
"22","24",3,"DEU"
"23","24",23,"DEU"
"1","25",47,"DEU"
"2","25",88,"DEU"
"3","25",21,"DEU"
"4","25",3,"DEU"
"5","25",7,"DEU"
"6","25",6,"DEU"
"7","25",54,"DEU"
"8","25",18,"DEU"
"10","25",1,"DEU"
"11","25",2,"DEU"
"12","25",4,"DEU"
"14","25",2,"DEU"
"15","25",1,"DEU"
"16","25",4,"DEU"
"17","25",12,"DEU"
"18","25",6,"DEU"
"19","25",4,"DEU"
"20","25",10,"DEU"
"21","25",2,"DEU"
"22","25",2,"DEU"
"23","25",2,"DEU"
"24","25",7,"DEU"
"1","26",20,"DEU"
"2","26",30,"DEU"
"3","26",15,"DEU"
"4","26",6,"DEU"
"5","26",1,"DEU"
"6","26",9,"DEU"
"7","26",2,"DEU"
"8","26",8,"DEU"
"9","26",3,"DEU"
"10","26",4,"DEU"
"11","26",8,"DEU"
"12","26",5,"DEU"
"13","26",2,"DEU"
"14","26",3,"DEU"
"15","26",8,"DEU"
"17","26",1,"DEU"
"18","26",6,"DEU"
"19","26",8,"DEU"
"20","26",2,"DEU"
"21","26",6,"DEU"
"22","26",4,"DEU"
"23","26",1,"DEU"
"24","26",4,"DEU"
"25","26",6,"DEU"
"26","26",1,"DEU"
"1","27",16,"DEU"
"2","27",4,"DEU"
"3","27",12,"DEU"
"4","27",16,"DEU"
"5","27",12,"DEU"
"6","27",7,"DEU"
"7","27",10,"DEU"
"8","27",7,"DEU"
"9","27",7,"DEU"
"10","27",15,"DEU"
"11","27",5,"DEU"
"12","27",4,"DEU"
"13","27",3,"DEU"
"14","27",6,"DEU"
"15","27",7,"DEU"
"16","27",3,"DEU"
"17","27",24,"DEU"
"18","27",5,"DEU"
"19","27",12,"DEU"
"20","27",5,"DEU"
"21","27",21,"DEU"
"22","27",8,"DEU"
"23","27",11,"DEU"
"24","27",3,"DEU"
"25","27",2,"DEU"
"1","28",17,"DEU"
"2","28",2,"DEU"
"3","28",4,"DEU"
"4","28",11,"DEU"
"5","28",15,"DEU"
"6","28",7,"DEU"
"7","28",6,"DEU"
"8","28",10,"DEU"
"9","28",4,"DEU"
"10","28",12,"DEU"
"11","28",3,"DEU"
"12","28",5,"DEU"
"13","28",7,"DEU"
"14","28",6,"DEU"
"15","28",2,"DEU"
"16","28",4,"DEU"
"17","28",23,"DEU"
"18","28",2,"DEU"
"19","28",7,"DEU"
"20","28",8,"DEU"
"21","28",10,"DEU"
"22","28",7,"DEU"
"23","28",11,"DEU"
"24","28",6,"DEU"
"25","28",2,"DEU"
"26","28",1,"DEU"
"27","28",1,"DEU"
"1","29",12,"DEU"
"2","29",60,"DEU"
"3","29",10,"DEU"
"4","29",4,"DEU"
"5","29",4,"DEU"
"6","29",1,"DEU"
"7","29",24,"DEU"
"8","29",5,"DEU"
"9","29",1,"DEU"
"10","29",2,"DEU"
"11","29",3,"DEU"
"12","29",3,"DEU"
"13","29",2,"DEU"
"14","29",2,"DEU"
"15","29",1,"DEU"
"16","29",1,"DEU"
"17","29",4,"DEU"
"18","29",2,"DEU"
"19","29",2,"DEU"
"20","29",49,"DEU"
"21","29",4,"DEU"
"22","29",5,"DEU"
"23","29",3,"DEU"
"24","29",4,"DEU"
"26","29",1,"DEU"
"27","29",5,"DEU"
"1","30",28,"DEU"
"2","30",6,"DEU"
"3","30",10,"DEU"
"4","30",8,"DEU"
"5","30",3,"DEU"
"7","30",4,"DEU"
"8","30",3,"DEU"
"10","30",2,"DEU"
"11","30",11,"DEU"
"12","30",3,"DEU"
"13","30",1,"DEU"
"14","30",2,"DEU"
"15","30",2,"DEU"
"17","30",2,"DEU"
"20","30",2,"DEU"
"21","30",2,"DEU"
"23","30",2,"DEU"
"24","30",8,"DEU"
"27","30",1,"DEU"
"28","30",3,"DEU"
"29","30",2,"DEU"
"30","30",1,"DEU"
"1","31",50,"DEU"
"2","31",28,"DEU"
"3","31",3,"DEU"
"4","31",5,"DEU"
"5","31",10,"DEU"
"6","31",2,"DEU"
"7","31",2,"DEU"
"8","31",17,"DEU"
"9","31",2,"DEU"
"10","31",6,"DEU"
"11","31",4,"DEU"
"13","31",1,"DEU"
"14","31",3,"DEU"
"15","31",3,"DEU"
"16","31",24,"DEU"
"17","31",17,"DEU"
"18","31",7,"DEU"
"19","31",6,"DEU"
"21","31",2,"DEU"
"22","31",6,"DEU"
"23","31",3,"DEU"
"24","31",4,"DEU"
"25","31",9,"DEU"
"27","31",19,"DEU"
"28","31",29,"DEU"
"29","31",10,"DEU"
"30","31",4,"DEU"
"1","32",54,"DEU"
"2","32",5,"DEU"
"3","32",8,"DEU"
"4","32",3,"DEU"
"5","32",6,"DEU"
"6","32",4,"DEU"
"7","32",25,"DEU"
"8","32",16,"DEU"
"9","32",1,"DEU"
"10","32",1,"DEU"
"11","32",10,"DEU"
"12","32",3,"DEU"
"13","32",1,"DEU"
"14","32",1,"DEU"
"15","32",4,"DEU"
"16","32",17,"DEU"
"17","32",30,"DEU"
"18","32",12,"DEU"
"19","32",3,"DEU"
"20","32",3,"DEU"
"21","32",2,"DEU"
"22","32",8,"DEU"
"23","32",1,"DEU"
"24","32",3,"DEU"
"25","32",1,"DEU"
"28","32",3,"DEU"
"29","32",1,"DEU"
"30","32",5,"DEU"
"1","33",31,"DEU"
"2","33",29,"DEU"
"3","33",6,"DEU"
"4","33",5,"DEU"
"5","33",1,"DEU"
"6","33",4,"DEU"
"7","33",3,"DEU"
"8","33",28,"DEU"
"9","33",2,"DEU"
"10","33",6,"DEU"
"11","33",1,"DEU"
"13","33",2,"DEU"
"14","33",4,"DEU"
"15","33",6,"DEU"
"16","33",10,"DEU"
"17","33",19,"DEU"
"18","33",7,"DEU"
"19","33",3,"DEU"
"20","33",1,"DEU"
"21","33",4,"DEU"
"22","33",3,"DEU"
"23","33",2,"DEU"
"24","33",3,"DEU"
"26","33",1,"DEU"
"27","33",16,"DEU"
"28","33",5,"DEU"
"32","33",1,"DEU"
"1","34",12,"DEU"
"2","34",4,"DEU"
"3","34",2,"DEU"
"4","34",13,"DEU"
"5","34",14,"DEU"
"6","34",4,"DEU"
"7","34",5,"DEU"
"8","34",11,"DEU"
"9","34",1,"DEU"
"10","34",3,"DEU"
"11","34",1,"DEU"
"13","34",2,"DEU"
"14","34",5,"DEU"
"15","34",2,"DEU"
"16","34",9,"DEU"
"17","34",2,"DEU"
"18","34",11,"DEU"
"19","34",5,"DEU"
"20","34",1,"DEU"
"21","34",3,"DEU"
"22","34",8,"DEU"
"23","34",6,"DEU"
"24","34",17,"DEU"
"25","34",2,"DEU"
"26","34",1,"DEU"
"27","34",8,"DEU"
"28","34",4,"DEU"
"29","34",1,"DEU"
"30","34",3,"DEU"
"31","34",4,"DEU"
"32","34",3,"DEU"
"33","34",2,"DEU"
"1","35",20,"DEU"
"2","35",19,"DEU"
"3","35",8,"DEU"
"4","35",12,"DEU"
"5","35",7,"DEU"
"6","35",6,"DEU"
"7","35",3,"DEU"
"8","35",17,"DEU"
"9","35",5,"DEU"
"10","35",1,"DEU"
"11","35",1,"DEU"
"12","35",2,"DEU"
"13","35",2,"DEU"
"14","35",2,"DEU"
"15","35",4,"DEU"
"16","35",21,"DEU"
"17","35",9,"DEU"
"18","35",6,"DEU"
"19","35",2,"DEU"
"20","35",1,"DEU"
"21","35",4,"DEU"
"22","35",5,"DEU"
"23","35",3,"DEU"
"24","35",3,"DEU"
"25","35",2,"DEU"
"26","35",1,"DEU"
"27","35",5,"DEU"
"28","35",3,"DEU"
"31","35",1,"DEU"
"34","35",2,"DEU"
"1","36",5,"DEU"
"2","36",26,"DEU"
"3","36",5,"DEU"
"5","36",8,"DEU"
"7","36",14,"DEU"
"8","36",1,"DEU"
"10","36",4,"DEU"
"12","36",4,"DEU"
"13","36",1,"DEU"
"15","36",1,"DEU"
"16","36",2,"DEU"
"17","36",4,"DEU"
"19","36",6,"DEU"
"20","36",37,"DEU"
"21","36",3,"DEU"
"23","36",4,"DEU"
"24","36",3,"DEU"
"26","36",3,"DEU"
"27","36",2,"DEU"
"28","36",4,"DEU"
"30","36",1,"DEU"
"31","36",2,"DEU"
"35","36",2,"DEU"
"1","37",27,"DEU"
"2","37",7,"DEU"
"3","37",14,"DEU"
"4","37",9,"DEU"
"5","37",8,"DEU"
"6","37",1,"DEU"
"7","37",2,"DEU"
"8","37",3,"DEU"
"9","37",2,"DEU"
"10","37",4,"DEU"
"11","37",2,"DEU"
"12","37",4,"DEU"
"13","37",3,"DEU"
"14","37",1,"DEU"
"15","37",5,"DEU"
"16","37",4,"DEU"
"17","37",1,"DEU"
"18","37",5,"DEU"
"20","37",1,"DEU"
"21","37",3,"DEU"
"22","37",3,"DEU"
"23","37",2,"DEU"
"24","37",4,"DEU"
"25","37",2,"DEU"
"28","37",7,"DEU"
"29","37",1,"DEU"
"34","37",6,"DEU"
"36","37",5,"DEU"
"37","37",1,"DEU"
"1","38",2,"DEU"
"2","38",10,"DEU"
"3","38",11,"DEU"
"4","38",33,"DEU"
"5","38",2,"DEU"
"6","38",22,"DEU"
"7","38",1,"DEU"
"8","38",1,"DEU"
"9","38",1,"DEU"
"10","38",58,"DEU"
"11","38",26,"DEU"
"12","38",25,"DEU"
"13","38",1,"DEU"
"14","38",44,"DEU"
"15","38",2,"DEU"
